gtin;ndFreeOfAlcohol;gln;regulatedProdName;functionalName;labelDescription;TradeItemDescr;ingredient_informatie
3,7602E+12;;1,09421E+12;;;;Spicy roll garnalen;
3,7602E+12;;1,09421E+12;;;;Triple spicy roll;
3,7602E+12;;1,09421E+12;;;;Classic tempura;
3,7602E+12;;1,09421E+12;;;;Crunch tempura;
3,7602E+12;;1,09421E+12;;;;California masago;
3,7602E+12;;1,09421E+12;;;;Tonijn maki;
3,7602E+12;;1,09421E+12;;;;Zalm maki;
3,7602E+12;;1,09421E+12;;;;Avocado maki;
3,7602E+12;;1,09421E+12;;;;Kaas maki;
3,7602E+12;;1,09421E+12;;;;Komkommer maki;
3,7602E+12;;1,09421E+12;;;;California maki;
3,7602E+12;;1,09421E+12;;;;Zalm verde;
3,7602E+12;;1,09421E+12;;;;Veggie verde;
3,7602E+12;;1,09421E+12;;;;Garnalen verde;
3,7602E+12;;1,09421E+12;;;;Zalm Nigiri;
3,7602E+12;;1,09421E+12;;;;Tonijn nigiri;
3,7602E+12;;1,09421E+12;;;;Nigiri duo;
3,7602E+12;;1,09421E+12;;;;Zalm nigiri l;
3,7602E+12;;1,09421E+12;;;;Nigiri duo l;
3,7602E+12;;1,09421E+12;;;;Triple roll;
3,7602E+12;;1,09421E+12;;;;Ocean mix;
3,7602E+12;;1,09421E+12;;;;Maki mix;
3,7602E+12;;1,09421E+12;;;;Maxi maki;
3,7602E+12;;1,09421E+12;;;;Menu one;
3,7602E+12;;1,09421E+12;;;;Menu two;
3,7602E+12;;1,09421E+12;;;;Menu three;
3,7602E+12;;1,09421E+12;;;;L schotel;
3,7602E+12;;1,09421E+12;;;;Zalm sashimi;
3,7602E+12;;1,09421E+12;;;;Sashimi duo;
3,7602E+12;;1,09421E+12;;;;Sashimi assortiment;
3,7602E+12;;1,09421E+12;;;;Zalm chirashi;
3,7602E+12;;1,09421E+12;;;;Chirashi duo;
3,7602E+12;;1,09421E+12;;;;Zalmtartaar;
3,7602E+12;;1,09421E+12;;;;Tonijntartaar;
3,7602E+12;;1,09421E+12;;;;Tofu firm;
3,7602E+12;;1,09421E+12;;;;Witte rijst;
3,7602E+12;;1,09421E+12;;;;Aangezuurde rijst;
3,7602E+12;;1,09421E+12;;;;Koolsalade;
3,7602E+12;;1,09421E+12;;;;Garnalen gyoza;
3,7602E+12;;1,09421E+12;;;;Kip Gyoza;
3,7602E+12;;1,09421E+12;;;;Edamame;
3,7602E+12;;1,09421E+12;;;;Gember;
3,7602E+12;;1,09421E+12;;;;Sojasaus zout;
3,7602E+12;;1,09421E+12;;;;Sojasaus zoet;
3,7602E+12;;1,09421E+12;;;;Spicy Mayonaise;
3,7602E+12;;1,09421E+12;;;;Verde maki zalm;
3,7602E+12;;1,09421E+12;;;;Wakame cali roll;
3,7602E+12;;1,09421E+12;;;;Zalm crunch roll;
3,7602E+12;;1,09421E+12;;;;Ikura flower;
3,7602E+12;;1,09421E+12;;;;Rollin salmon cheese;
3,7602E+12;;1,09421E+12;;;;Duo salade;
3,7602E+12;;1,09421E+12;;;;Mega maki;
